common_movie_id,overview,translated_overview,overview converted using google translate,,0 or 1
4964,"For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant.","মজার পার্টি প্রাণী বেন স্টোনের জন্য, শেষ জিনিসটি তিনি আশা করেছিলেন যে তার ওয়ান নাইট স্ট্যান্ডটি আট সপ্তাহ পরে তার দোরগোড়ায় দেখাবে তাকে জানাতে যে সে গর্ভবতী।","For fun-loving party animal Ben Stone, the last thing he expected was his one-night stand showing up on his doorstep eight weeks later to tell him she was pregnant.",,0
1093,"The feature-film debut of famed director Louis Malle is an interesting, modern film noir with the classic theme of lovers plotting to kill the husband and make it look like suicide (reminiscent of The Postman Always Rings Twice). Jeanne Moreau gives an astonishing performance, perverse but naive as she leads her young lover down a path that can only lead to doom for both of them.","प्रसिद्ध निर्देशक लुईस मैले की पहली फीचर-फिल्म एक दिलचस्प, आधुनिक फिल्म नॉयर है, जिसमें प्रेमियों द्वारा पति को मारने और इसे आत्महत्या जैसा बनाने की साजिश रचने की क्लासिक थीम है (द पोस्टमैन ऑलवेज रिंग्स ट्वाइस की याद दिलाती है)। जीन मोरो एक आश्चर्यजनक प्रदर्शन देती है, विकृत लेकिन भोली, क्योंकि वह अपने युवा प्रेमी को ऐसे रास्ते पर ले जाती है जो केवल उन दोनों के लिए विनाश की ओर ले जा सकता है।","Renowned director Louis Malle's feature-length debut is an intriguing, modern film noir, featuring the classic theme of lovers plotting to kill their husbands and make it look like suicide (reminiscent of The Postman Always Rings Twice). Jeanne Moreau gives a stunning performance, twisted yet naive, as she leads her young lover down a path that can only lead to destruction for both of them.",,0
84954,"Werner Krauss, who had played the deranged Dr. Caligari six years earlier, stars as a scientist who is tormented by an irrational fear of knives and the irresistible compulsion to murder his wife. Driven to the brink of madness by fantastic nightmares (designed by Ernö Metzner and photographed by Guido Seeber in a brilliant mix of expressionism and surrealism), he encounters a psychoanalyst who offers to treat the perplexing malady.","ଛଅ ବର୍ଷ ପୂର୍ବେ ଡ Dr. କାଲିଗରୀ ଭୂମିକାରେ ଅଭିନୟ କରିଥିବା ୱର୍ନର୍ କ୍ରାଉସ୍ ଜଣେ ବ scientist ଜ୍ଞାନିକ ଭାବରେ ଅଭିନୟ କରିଥିଲେ, ଯିଏ ଛୁରୀର ଏକ ଅଯ ational କ୍ତିକ ଭୟ ଏବଂ ତାଙ୍କ ପତ୍ନୀଙ୍କୁ ହତ୍ୟା କରିବା ପାଇଁ ଅସହଯୋଗ ବାଧ୍ୟ ହୋଇ ଯନ୍ତ୍ରଣା ଭୋଗୁଥିଲେ। ଚମତ୍କାର ଦୁ night ସ୍ୱପ୍ନ ଦ୍ୱାରା ପାଗଳତାର ସୀମାକୁ ଚାଲିଗଲା (ଏର୍ନୋ ମେଟଜେନର୍ଙ୍କ ଦ୍ୱାରା ପରିକଳ୍ପିତ ଏବଂ ଗୁଇଡୋ ସେବରଙ୍କ ଦ୍ୱାରା ଅଭିବ୍ୟକ୍ତି ଏବଂ ସରିଆରଲିଜିମ୍ ର ଏକ ଉଜ୍ଜ୍ୱଳ ମିଶ୍ରଣରେ ଫଟୋଗ୍ରାଫ୍ କରାଯାଇଥିଲା), ସେ ଏକ ସାଇକୋଆନାଲିଷ୍ଟର ସାମ୍ନା କରନ୍ତି ଯିଏ ବିଚଳିତ ରୋଗର ଚିକିତ୍ସା କରିବାକୁ ପ୍ରସ୍ତାବ ଦେଇଥାଏ |","Werner Krauss, who played Dr. Caligari six years ago, plays a scientist who suffers from an irrational fear of knives and an uncontrollable compulsion to kill his wife. Driven to the brink of madness by a bizarre nightmare (designed by Erno Metzner and photographed by Guido Seber in a brilliant blend of expressionism and surrealism), he encounters a psychoanalyst who offers to treat his disturbing illness.",,0
5767,"The ten-year marriage of Mark and Joanna Wallace is on the rocks. In flashback they recall their first meeting, memorable moments in their courtship and early wedded life, their travels through Europe, their broken vow never to have children, and their increasing tensions that led to both of them having extra-marital affairs.","মার্ক এবং জোয়ানা ওয়ালেসের দশ বছরের দাম্পত্য জীবন তুঙ্গে। ফ্ল্যাশব্যাকে তারা তাদের প্রথম সাক্ষাত, তাদের বিবাহিত জীবনের স্মরণীয় মুহূর্তগুলি, ইউরোপের মধ্য দিয়ে তাদের ভ্রমণ, কখনও সন্তান না নেওয়ার তাদের ভাঙা অঙ্গীকার এবং তাদের ক্রমবর্ধমান উত্তেজনা যা তাদের দুজনের বিবাহ বহির্ভূত সম্পর্কের দিকে পরিচালিত করেছিল তা স্মরণ করে।","Mark and Joanna Wallace's ten-year marriage is at its peak. In flashbacks, they recall their first meeting, memorable moments of their married life, their trip through Europe, their broken vow to never have children, and their growing tension that led to their extramarital affair.",,0
1836,"Esther, a self-conscious young woman who works for a public relations firm. One night at a party with her friend Sandrine, Esther wanders into the backyard and stumbles, scratching her leg on a piece of scrap metal. She goes back to the party, and later realizes that her injury is much more severe than she had thought. There's a huge, ugly gouge all the way up her shin, and she's bleeding profusely. She goes to a doctor, who patches her up and tells her she might need a skin graft. But Esther becomes obsessed with the wound. She won't let it heal, sneaking away during work to cut herself. As her leg becomes an ugly scarred mass, she begins to notice a problem with her arm. Before long, she's alienated Vincent and jeopardized her job with her compulsive, self-destructive behavior. But she continues on her grotesque downward spiral.","एस्तेर, एक आत्म-जागरूक युवा महिला जो एक जनसंपर्क फर्म के लिए काम करती है। एक रात अपनी सहेली सैंड्रिन के साथ एक पार्टी में, एस्तेर पिछवाड़े में भटकती है और लड़खड़ाकर स्क्रैप धातु के एक टुकड़े पर अपना पैर खरोंच लेती है। वह पार्टी में वापस जाती है, और बाद में उसे एहसास होता है कि उसकी चोट उससे कहीं अधिक गंभीर है जितना उसने सोचा था। उसकी पिंडली तक एक बड़ा, बदसूरत घाव है, और उससे बहुत अधिक खून बह रहा है। वह एक डॉक्टर के पास जाती है, जो उस पर पट्टी बांधता है और उसे बताता है कि उसे त्वचा प्रत्यारोपण की आवश्यकता हो सकती है। लेकिन एस्तेर घाव से ग्रस्त हो जाती है। वह इसे ठीक नहीं होने देगी, काम के दौरान खुद को काटने के लिए चुपचाप चली जाएगी। जैसे ही उसका पैर एक बदसूरत घाव वाला पिंड बन जाता है, उसे अपनी बांह में एक समस्या नज़र आने लगती है। जल्द ही, उसने विंसेंट को अलग-थलग कर दिया और अपने बाध्यकारी, आत्म-विनाशकारी व्यवहार से उसकी नौकरी को खतरे में डाल दिया। लेकिन वह अपनी अजीबो-गरीब गिरावट की ओर बढ़ती जा रही है।","Esther, a self-conscious young woman, works for a public relations firm. One night, while at a party with her friend Sandrine, Esther wanders into the backyard and trips, scraping her leg on a piece of scrap metal. She returns to the party, only to realize her injury is more serious than she thought. She has a large, ugly wound running up her shin, and it's bleeding profusely. She goes to a doctor, who bandages it and tells her she may need a skin graft. But Esther becomes obsessed with the wound. She won't let it heal, going so far as to cut herself at work. As her leg becomes an ugly, scarred mass, she begins to notice a problem in her arm. Soon, she has alienated Vincent and jeopardized his job with her compulsive, self-destructive behavior. But she continues her grotesque downward spiral.",,0
4578,"A heroin junkie works as a prostitute to support his habit and fund an abortion needed by the girlfriend of his lesbian wife. His seedy encounters with delusional and damaged clients, and dates with drag queens and hustlers are heavy on sex, drugs and decadence.","একজন হেরোইন জাঙ্কি তার অভ্যাসকে সমর্থন করার জন্য এবং তার লেসবিয়ান স্ত্রীর বান্ধবীর দ্বারা প্রয়োজনীয় একটি গর্ভপাতের অর্থ জোগাতে পতিতা হিসাবে কাজ করে। বিভ্রান্তিকর এবং ক্ষতিগ্রস্থ ক্লায়েন্টদের সাথে তার বীজের মুখোমুখি হয়, এবং ড্র্যাগ কুইন এবং হাস্টলারদের সাথে তারিখগুলি যৌন, মাদক এবং অবক্ষয়ের জন্য ভারী।","A heroin junkie works as a prostitute to support his habit and to pay for an abortion needed by his lesbian wife's girlfriend. His encounters with confused and damaged clients, and dates with drag queens and hustlers are heavy on sex, drugs, and depravity.",,0
1619,"Parker and Longbaugh are a pair of low-level petty criminals, living off the grid and funding their existence through unconventional and often illegal means. Wanting to move past petty crime, they vow to get the proverbial ""big score.","पार्कर और लॉन्गबॉघ निम्न-स्तर के छोटे अपराधियों की एक जोड़ी हैं, जो ग्रिड से बाहर रहते हैं और अपरंपरागत और अक्सर अवैध तरीकों से अपने अस्तित्व का वित्तपोषण करते हैं। वे छोटे-मोटे अपराध से आगे बढ़ना चाहते हैं और कहावत ""बड़ा स्कोर"" हासिल करने की कसम खाते हैं।","Parker and Longbaugh are a pair of low-level petty criminals who live off the grid and finance their existence through unconventional and often illegal means. They seek to move beyond petty crime and vow to achieve the proverbial ""big score.""",,0
702,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,परेशान ब्लैंच डुबॉइस अपनी बहन के साथ न्यू ऑरलियन्स में रहने आती है और अपने क्रूर बहनोई द्वारा उसे सताया जाता है जबकि उसकी वास्तविकता उसके चारों ओर बिखर जाती है।,Troubled Blanche DuBois moves in with her sister in New Orleans and is tormented by her cruel brother-in-law while her reality crumbles around her.,,0
5086,"Once upon a time a god gave a mighty sword to the king of Aquiles to bring justice to his people. Now he wants it back - but the king rather gives his life than the sword. Goddess Dehamira, who spoke for him, is being taken all her privileges and banned in a circle of fire, until a human arrives who's strong enough to free her. When prince Ator becomes 18, he gets the sword from the mean sorcerer gnome Grindl, to free Dehamira and his people. On his journey he has to fight against dragons and other fantastic figures.","একবার এক দেবতা তার লোকদের ন্যায়বিচার আনতে অ্যাকিলিসের রাজাকে একটি শক্তিশালী তলোয়ার দিয়েছিলেন। এখন সে তা ফেরত চায় - কিন্তু রাজা বরং তরবারির চেয়ে তার জীবন দেন। দেবী দেহামিরা, যিনি তাঁর পক্ষে কথা বলেছিলেন, তার সমস্ত সুযোগ-সুবিধা গ্রহণ করা হচ্ছে এবং আগুনের বৃত্তে নিষিদ্ধ করা হচ্ছে, যতক্ষণ না একজন মানুষ আসে যে তাকে মুক্ত করতে যথেষ্ট শক্তিশালী। রাজকুমার আটোর যখন 18 বছর বয়সী হন, তখন তিনি দেহামিরা এবং তার লোকদের মুক্ত করার জন্য গড় জাদুকর জিনোম গ্রিন্ডলের কাছ থেকে তলোয়ারটি পান। তার যাত্রায় তাকে ড্রাগন এবং অন্যান্য চমত্কার ব্যক্তিদের বিরুদ্ধে লড়াই করতে হবে।","Once upon a time, a god gave King Achilles a powerful sword to bring justice to his people. Now he wants it back - but the king would rather give his life than the sword. The goddess Dehamira, who spoke on his behalf, is being stripped of all her privileges and banned in a circle of fire, until a man comes along who is strong enough to free her. When Prince Ator turns 18, he receives the sword from the mean wizard gnome Grindel to free Dehamira and his people. On his journey, he must fight dragons and other fantastic beings.",,0
346,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.","एक समुराई कठिन समय में फँसने के बाद सुरक्षा के लिए एक गाँव के अनुरोध का उत्तर देता है। शहर को डाकुओं से सुरक्षा की आवश्यकता है, इसलिए समुराई लोगों को अपनी रक्षा करने के तरीके सिखाने में मदद करने के लिए छह अन्य लोगों को इकट्ठा करता है, और ग्रामीण सैनिकों को भोजन प्रदान करते हैं। एक विशाल युद्ध तब होता है जब 40 डाकू गांव पर हमला करते हैं।","A samurai responds to a village's request for protection after falling on hard times. The town needs protection from bandits, so the samurai gathers six others to help teach the people how to defend themselves, and the villagers provide the soldiers with food. A massive battle ensues when 40 bandits attack the village.",,0
128671,"To fulfill a dying mother's bequest for her daughter, the town pastor purchases the daughter a stylish hat, and gossip spreads through the town.",ନିଜ daughter ିଅ ପାଇଁ ଏକ ମରିଯାଉଥିବା ମା’ଙ୍କ ଉତ୍ତରାଧିକାରୀ ପୂରଣ କରିବା ପାଇଁ ଟାଉନ୍ ପାଳକ daughter ିଅକୁ ଏକ ଷ୍ଟାଇଲିସ୍ ଟୋପି କିଣନ୍ତି ଏବଂ ଗୁଜବ ସହରରେ ବ୍ୟାପିଥାଏ |,"To fulfill a dying mother's legacy for her daughter, the town pastor buys her a stylish hat, and rumors spread through the town.",,0
175,"Two men answer the call of the ocean in this romantic fantasy-adventure.  Jacques (Jean-Marc Barr) and Enzo (Jean Reno) are a pair of friends who have been close since childhood, and who share a passion for the dangerous sport of free diving. Professional diver Jacques opted to follow in the footsteps of his father, who died at sea when Jacques was a boy; to the bewilderment of scientists, Jacques harbors a remarkable ability to adjust his heart rate and breathing pattern in the water, so that his vital signs more closely resemble that of dolphins than men (he even considers a school of dolphins as his extended family).  As Enzo persuades a reluctant Jacques to compete against him in a free diving contest -- determining who can dive deeper and longer without scuba gear -- Jacques meets Johana (Rosanna Arquette), a beautiful insurance investigator from America, and he finds that he must choose between his love for her and his love of the sea.","इस रोमांटिक फंतासी-रोमांच में दो आदमी समुद्र की पुकार का उत्तर देते हैं।  जैक्स (जीन-मार्क बर्र) और एंज़ो (जीन रेनो) दोस्तों की एक जोड़ी है जो बचपन से ही करीब हैं, और जो फ्री डाइविंग के खतरनाक खेल के प्रति जुनून साझा करते हैं। पेशेवर गोताखोर जैक्स ने अपने पिता के नक्शेकदम पर चलने का विकल्प चुना, जिनकी समुद्र में तब मृत्यु हो गई जब जैक्स एक लड़का था; वैज्ञानिकों को आश्चर्यचकित करते हुए, जैक्स के पास पानी में अपनी हृदय गति और सांस लेने के पैटर्न को समायोजित करने की एक उल्लेखनीय क्षमता है, ताकि उसके महत्वपूर्ण संकेत पुरुषों की तुलना में डॉल्फ़िन के अधिक करीब हों (वह डॉल्फ़िन के एक स्कूल को अपने विस्तारित परिवार के रूप में भी मानता है)।  जैसे ही एंज़ो अनिच्छुक जैक्स को एक मुफ्त डाइविंग प्रतियोगिता में उसके खिलाफ प्रतिस्पर्धा करने के लिए मनाता है - यह निर्धारित करता है कि स्कूबा गियर के बिना कौन अधिक गहरा और लंबा गोता लगा सकता है - जैक्स अमेरिका की एक खूबसूरत बीमा अन्वेषक जोहाना (रोसन्ना अर्क्वेट) से मिलता है, और उसे पता चलता है कि उसे उसके लिए अपने प्यार और समुद्र के प्रति अपने प्यार के बीच चयन करना होगा।","In this romantic fantasy-adventure, two men answer the call of the sea. Jacques (Jean-Marc Barr) and Enzo (Jean Reno) are a pair of friends who have been close since childhood and who share a passion for the dangerous sport of freediving. Professional diver Jacques chose to follow in the footsteps of his father, who died at sea when Jacques was a boy. To the surprise of scientists, Jacques possesses a remarkable ability to adjust his heart rate and breathing patterns underwater, so that his vital signs are closer to those of dolphins than those of men (he even considers a school of dolphins to be his extended family). As Enzo convinces a reluctant Jax to compete against him in a freediving competition – determining who can dive deeper and longer without scuba gear – Jax meets Johanna (Rosanna Arquette), a beautiful insurance investigator from America, and realizes he must choose between his love for her and his love for the ocean.",,0
