common_movie_id,overview,translated_overview
3604,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth.",एक फुटबॉल खिलाड़ी और उसके दोस्त मोंगो ग्रह की यात्रा करते हैं और पृथ्वी को बचाने के लिए खुद को अत्याचारी मिंग द मर्सीलेस से लड़ते हुए पाते हैं।
941,"Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring.","वयोवृद्ध बटन-डाउन एलएपीडी जासूस रोजर मुर्टो को अनियंत्रित पुलिसकर्मी मार्टिन रिग्स के साथ भागीदारी मिली है, जो - अपनी पत्नी की मृत्यु के बाद परेशान - मौत की इच्छा रखता है और हर मोड़ पर अपराधियों के साथ अनावश्यक जोखिम लेता है। यह अनोखा जोड़ा साझेदार के रूप में अपनी पहली हत्या की जांच शुरू करता है, जिसमें मुर्टो की परिचित एक युवा महिला शामिल है जो नशीली दवाओं और वेश्यावृत्ति गिरोह से जुड़ी हुई है।"
3397,"Sven arrives in nowadays Auschwitz to do his civil service at the memorial. He encounters unfriendliness, especially by Stanislaw Krzeminski, the 85 year old KZ-survivor, and Krzysztof Lanuszewski, brother of his early love affair Ania. Even his boss Herold, the places manager, does little to help Sven familiarize. But when problems accumulate Sven realises that he already has become involved.","स्वेन आजकल ऑशविट्ज़ स्मारक पर अपनी सिविल सेवा करने के लिए आता है। उसे मित्रता का सामना करना पड़ता है, विशेष रूप से 85 वर्षीय केजेड-उत्तरजीवी स्टैनिस्लाव क्रज़ेमिन्स्की और उसके प्रारंभिक प्रेम संबंध अनिया के भाई क्रिज़्सटॉफ़ लैनुस्ज़वेस्की द्वारा। यहां तक ​​कि उसका बॉस हेरोल्ड, स्थान प्रबंधक, भी स्वेन को परिचित कराने में मदद करने के लिए बहुत कम प्रयास करता है। लेकिन जब समस्याएँ बढ़ती हैं तो स्वेन को पता चलता है कि वह पहले ही इसमें शामिल हो चुका है।"
31867,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.","ଭବିଷ୍ୟତରେ, ଚିକିତ୍ସା ପ୍ରଯୁକ୍ତିବିଦ୍ୟା ଏପରି ସ୍ଥିତିରେ ପହଞ୍ଚିଛି ଯେଉଁଠାରେ ଲୋକମାନେ ସେମାନଙ୍କର ଜୀବନ ବ extend ାଇବା ପାଇଁ କୃତ୍ରିମ ଅଙ୍ଗ କିଣି ପାରିବେ | କିନ୍ତୁ ଯଦି ସେମାନେ ଦେୟ ଉପରେ ଡିଫଲ୍ଟ ହୁଅନ୍ତି, ୟୁନିଅନ୍ ଭାବରେ ଜଣାଶୁଣା ଏକ ସଂସ୍ଥା ଅଙ୍ଗଗୁଡ଼ିକୁ ପୁନ oss ନିର୍ମାଣ କରିବାକୁ ଏଜେଣ୍ଟ ପଠାନ୍ତି | ରିମି ବ୍ୟବସାୟର ସର୍ବୋତ୍ତମ ଏଜେଣ୍ଟମାନଙ୍କ ମଧ୍ୟରୁ ଅନ୍ୟତମ, କିନ୍ତୁ ଯେତେବେଳେ ସେ ଏକ କୃତ୍ରିମ ହୃଦୟର ପ୍ରାପ୍ତକର୍ତ୍ତା ହୁଅନ୍ତି, ସେତେବେଳେ ସେ ନିଜକୁ ଅନେକ ପୀଡିତଙ୍କ ପରି ସମାନ ଅବସ୍ଥାରେ ପାଇଥା’ନ୍ତି |"
650,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,बॉयज़ एन द हूड दक्षिण मध्य लॉस एंजिल्स की स्थितियों के बारे में जॉन सिंगलटन की लोकप्रिय और सफल फिल्म और सामाजिक आलोचना है जहां किशोर दैनिक आधार पर बंदूक की लड़ाई और नशीली दवाओं के कारोबार में शामिल होते हैं।
5177,A young man spurs romance and helps his friend and himself go through the struggles of their ordinary life in Denmark.,একজন যুবক রোম্যান্সকে উত্সাহিত করে এবং তার বন্ধুকে এবং নিজেকে ডেনমার্কে তাদের সাধারণ জীবনের সংগ্রামের মধ্য দিয়ে যেতে সাহায্য করে।
288,High Noon is about a recently freed leader of a gang of bandits in the desert who is looking to get revenge on the Sheriff who put him in jail. A legendary western film from the Austrian director Fred Zinnemann.,हाई नून रेगिस्तान में डाकुओं के एक गिरोह के हाल ही में मुक्त हुए नेता के बारे में है जो शेरिफ से बदला लेना चाहता है जिसने उसे जेल में डाल दिया था। ऑस्ट्रियाई निर्देशक फ्रेड ज़िनमैन की एक प्रसिद्ध पश्चिमी फ़िल्म।
2990,A couple works hard to renovate their dream house and become landlords to pay for it. Unfortunately one of their tenants has plans of his own.,एक जोड़ा अपने सपनों के घर का नवीनीकरण करने के लिए कड़ी मेहनत करता है और इसके लिए भुगतान करने के लिए मकान मालिक बन जाता है। दुर्भाग्य से उनके एक किरायेदार की अपनी योजनाएँ हैं।
2014,"Nejat seems disapproving about his widower father Ali's choice of prostitute Yeter for a live-in girlfriend. But he grows fond of her when he discovers she sends money home to Turkey for her daughter's university studies. Yeter's sudden death distances father and son. Nejat travels to Istanbul to search for Yeter's daughter Ayten. Political activist Ayten has fled the Turkish police and is already in Germany. She is befriended by a young woman, Lotte, who invites rebellious Ayten to stay in her home, a gesture not particularly pleasing to her conservative mother Susanne. When Ayten is arrested and her asylum plea is denied, she is deported and imprisoned in Turkey. Lotte travels to Turkey,where she gets caught up in the seemingly hopeless situation of freeing Ayten.","नेजत अपने विधुर पिता अली की लिव-इन गर्लफ्रेंड के लिए वेश्या येटर को चुनने से असहमत लगता है। लेकिन जब उसे पता चलता है कि वह अपनी बेटी की यूनिवर्सिटी की पढ़ाई के लिए तुर्की में पैसे भेजती है तो उसे उससे प्यार हो जाता है। येटर की अचानक मौत ने पिता और पुत्र को दूर कर दिया। येटर की बेटी आयटेन की खोज के लिए नेजट इस्तांबुल की यात्रा करता है। राजनीतिक कार्यकर्ता आयटेन तुर्की पुलिस से भाग गए हैं और पहले से ही जर्मनी में हैं। उसकी दोस्ती एक युवा महिला लोटे से हो जाती है, जो विद्रोही एयटेन को अपने घर में रहने के लिए आमंत्रित करती है, जो उसकी रूढ़िवादी मां सुज़ैन को विशेष रूप से पसंद नहीं है। जब आयटेन को गिरफ्तार कर लिया जाता है और उसकी शरण याचिका अस्वीकार कर दी जाती है, तो उसे निर्वासित कर दिया जाता है और तुर्की में कैद कर दिया जाता है। लोटे तुर्की की यात्रा करती है, जहां वह आयटेन को मुक्त कराने की निराशाजनक स्थिति में फंस जाती है।"
44978,"Golmaal 3 highlights the story of hatred between two bunch of siblings within a family. One of nature's masterpieces, this is a family that eats together, prays together, lives together and a family 'that can't stand each other'. This quirky unique family will certainly deliver you with some rib tickling moments, ageless romance and some heartwarming scenes. A beautiful journey full of madness, love and excitement. A film with the perfect blend of just every emotion that will set in your heart with thrice the fun, thrice the magic, and thrice the laughter.","ଗୋଲମାଲ 3 ଗୋଟିଏ ପରିବାର ମଧ୍ୟରେ ଦୁଇ ଗୁଣ୍ଡ ଭାଇଭଉଣୀଙ୍କ ମଧ୍ୟରେ ଘୃଣାର କାହାଣୀକୁ ଆଲୋକିତ କରେ | ପ୍ରକୃତିର ଅନ୍ୟତମ ମୂଖ୍ୟ, ଏହା ଏକ ପରିବାର ଯିଏ ଏକାଠି ଖାଏ, ଏକାଠି ପ୍ରାର୍ଥନା କରେ, ଏକାଠି ରୁହେ ଏବଂ ଏକ ପରିବାର 'ଯାହା ପରସ୍ପରକୁ ଠିଆ ହୋଇପାରିବ ନାହିଁ' | ଏହି କ qu ତୁକିଆ ଅନନ୍ୟ ପରିବାର ନିଶ୍ଚିତ ଭାବରେ ଆପଣଙ୍କୁ କିଛି ପଟି ଟିକ୍ ମୁହୂର୍ତ୍ତ, ବୟସହୀନ ରୋମାନ୍ସ ଏବଂ କିଛି ହୃଦୟସ୍ପର୍ଶୀ ଦୃଶ୍ୟ ସହିତ ବିତରଣ କରିବ | ପାଗଳତା, ପ୍ରେମ ଏବଂ ଉତ୍ସାହରେ ପରିପୂର୍ଣ୍ଣ ଏକ ସୁନ୍ଦର ଯାତ୍ରା | କେବଳ ପ୍ରତ୍ୟେକ ଭାବପ୍ରବଣତାର ସଂପୂର୍ଣ୍ଣ ମିଶ୍ରଣ ସହିତ ଏକ ଚଳଚ୍ଚିତ୍ର ଯାହା ଆପଣଙ୍କ ହୃଦୟରେ ତିନିଥର ମଜା, ଯାଦୁକୁ ତିନିଥର ଏବଂ ହସକୁ ତିନିଥର ସ୍ଥିର କରିବ |"
97936,A woman refuses to let her romances last longer than one month.,ଜଣେ ମହିଳା ତାଙ୍କ ରୋମାନ୍ସକୁ ଏକ ମାସରୁ ଅଧିକ ସମୟ ଦେବାକୁ ମନା କରନ୍ତି |
2912,"An unlikely friendship between a dour, working class butcher and a repressed schoolteacher coincides with a grisly series of Ripper-type murders in a provincial French town.","एक गरीब, मजदूर वर्ग के कसाई और एक दमित स्कूली शिक्षक के बीच अप्रत्याशित दोस्ती एक प्रांतीय फ्रांसीसी शहर में रिपर-प्रकार की हत्याओं की एक भयानक श्रृंखला के साथ मेल खाती है।"
1382,"The feature film debut by artist Miranda July about a various comic situations and plots that intertwine. One story line is about a father who is ending his marriage and the other story is of a video artist (possibly autobiographical of Miranda July, also played by her) who is desperately trying to get her work in a modern art museum. The film won Caméra d'Or at Cannes.","कलाकार मिरांडा जुलाई की फीचर फिल्म की शुरुआत विभिन्न हास्य स्थितियों और कथानकों के बारे में है जो आपस में जुड़े हुए हैं। एक कहानी एक पिता के बारे में है जो अपनी शादी खत्म कर रहा है और दूसरी कहानी एक वीडियो कलाकार (संभवतः मिरांडा जुलाई की आत्मकथा, जिसे उसने निभाया भी है) की है जो एक आधुनिक कला संग्रहालय में अपना काम पाने की सख्त कोशिश कर रहा है। फिल्म ने कान्स में कैमरा डी'ओर जीता।"
1986,In 1980 the black Falashas in Ethiopia are recognised as genuine Jews and are secretly carried to Israel. The day before the transport the son of a Jewish mother dies. In his place and with his name (Schlomo) she takes a Christian 9-year-old boy.,1980 में इथियोपिया में काले फलाशा को वास्तविक यहूदियों के रूप में मान्यता दी गई और उन्हें गुप्त रूप से इज़राइल ले जाया गया। परिवहन से एक दिन पहले एक यहूदी माँ के बेटे की मृत्यु हो जाती है। उसके स्थान पर और उसके नाम (श्लोमो) के साथ वह एक 9 वर्षीय ईसाई लड़के को लेती है।
32076,"Mourning the accidental death of his wife and having just moved to New York with his young son, laconic police psychologist Cal Jamison (Martin Sheen) is reluctantly drawn into a series of grisly, ritualistic murders involving the immolation of two youths.",ତାଙ୍କ ପତ୍ନୀଙ୍କ ଆକସ୍ମିକ ମୃତ୍ୟୁରେ ଶୋକ ପ୍ରକାଶ କରିବା ସହ ତାଙ୍କ ସାନପୁଅଙ୍କ ସହ ନ୍ୟୁୟର୍କ ଯାଇ ଲାକୋନିକ୍ ପୋଲିସ୍ ସାଇକୋଲୋଜିଷ୍ଟ୍ କାଲ୍ ଜାମିସନ୍ (ମାର୍ଟିନ୍ ଶିନ) ଅନିଚ୍ଛା ପ୍ରକାଶ କରି ଦୁଇ ଯୁବକଙ୍କ ଅମୃତଭଣ୍ଡା ହତ୍ୟାକାଣ୍ଡ ଘଟାଇଛନ୍ତି।
65642,"Life story of a charming scoundrel, with little dialogue other than the star/director's witty narration. As a boy, only he survives a family tragedy when he's deprived of supper (poisonous mushrooms!) for stealing...concluding that dishonesty pays. Through years of dabbling in crime and amusing adventures, two women appear and reappear in his life, a dazzling blonde jewel thief and a stunning brunette gambler. Finally, he meets the mysterious Charbonnier who had saved his life in World War I, leading to the surprising next phase in his career...","ତାରକା / ନିର୍ଦ୍ଦେଶକଙ୍କ ଚତୁର କାହାଣୀ ବ୍ୟତୀତ ଅଳ୍ପ ସଂଳାପ ସହିତ ଏକ ଚିତ୍ତାକର୍ଷକ ଘୃଣାର ଜୀବନ କାହାଣୀ | ବାଳକ ଭାବରେ, ସେ କେବଳ ପାରିବାରିକ ଦୁ tragedy ଖଦ ଘଟଣାରୁ ବଞ୍ଚିଥାଏ ଯେତେବେଳେ ସେ ଚୋରି ପାଇଁ ରାତ୍ରୀ ଭୋଜନ (ବିଷାକ୍ତ ମୂଷା!) ରୁ ବଞ୍ଚିତ ହୁଏ ... ସିଦ୍ଧାନ୍ତରେ ଅସାଧୁତା ପରିଶୋଧ କରେ | ବହୁ ବର୍ଷ ଧରି ଅପରାଧରେ ଚିତ୍ତାକର୍ଷକ ଏବଂ ଚିତ୍ତାକର୍ଷକ ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ ମାଧ୍ୟମରେ ଦୁଇଜଣ ମହିଳା ତାଙ୍କ ଜୀବନରେ ପୁନର୍ବାର ଆବିର୍ଭାବ ହୋଇଥିଲେ, ଏକ ଚମତ୍କାର ସ୍ୱର୍ଣ୍ଣ ରଙ୍ଗର ଅଳଙ୍କାର ଚୋର ଏବଂ ଚମତ୍କାର ବ୍ରୁନେଟ ଜୁଆ ଖେଳାଳି | ଶେଷରେ, ସେ ରହସ୍ୟମୟ ଚାର୍ବୋନିଅର୍ଙ୍କୁ ଭେଟିଥିଲେ ଯିଏ ପ୍ରଥମ ବିଶ୍ୱଯୁଦ୍ଧରେ ନିଜ ଜୀବନ ରକ୍ଷା କରିଥିଲେ, ଯାହା ତାଙ୍କ କ୍ୟାରିୟରର ଆଶ୍ଚର୍ଯ୍ୟଜନକ ପରବର୍ତ୍ତୀ ପର୍ଯ୍ୟାୟକୁ ନେଇଥିଲା ..."
89904,"A murdered police officer is brought back to life by a cold-hearted scientist to serve as ""The Demolitionist"", the ultimate crime-fighting weapon in a city overrun by criminals and internal corruption","ଜଣେ ହତ୍ୟାକାରୀ ପୋଲିସ୍ ଶୀତଳ ହୃଦୟ ବ scientist ଜ୍ଞାନିକଙ୍କ ଦ୍ life ାରା ପୁନ life ଜୀବନ୍ତ ହୋଇ ଜୀବନ୍ତ ତଥା ଅପରାଧୀ ତଥା ଆଭ୍ୟନ୍ତରୀଣ ଦୁର୍ନୀତି ଦ୍ୱାରା ଚରମ ସୀମାରେ ଅପରାଧ-ଲ fighting ଼େଇ କରୁଥିବା ଅସ୍ତ୍ରରେ ""ଦି ବିଲୋପବାଦୀ"" ଭାବରେ କାର୍ଯ୍ୟ କରିବ।"
63876,"In a chain reaction of romantic adventures, various people play musical beds in a remake of Max Ophul's ""La Ronde.""","ରୋମାଣ୍ଟିକ୍ ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟର ଏକ ଶୃଙ୍ଖଳ ପ୍ରତିକ୍ରିୟାରେ, ବିଭିନ୍ନ ଲୋକ ମ୍ୟାକ୍ସ ଓଫୁଲଙ୍କ ""ଲା ରୋଣ୍ଡେ"" ର ରିମେକରେ ମ୍ୟୁଜିକାଲ୍ ବେଡ୍ ଖେଳନ୍ତି |"
505,"A career criminal who has been deformed since birth is given a new face by a kindly doctor and paroled from prison. It appears that he has gone straight, but he is really planning his revenge on the man who killed his mentor and sent him to prison.","एक कैरियर अपराधी जो जन्म से ही विकृत हो गया है, उसे एक दयालु डॉक्टर द्वारा एक नया चेहरा दिया जाता है और जेल से पैरोल दी जाती है। ऐसा प्रतीत होता है कि वह सीधे चला गया है, लेकिन वास्तव में वह उस व्यक्ति से बदला लेने की योजना बना रहा है जिसने उसके गुरु की हत्या कर दी और उसे जेल भेज दिया।"
949,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","जुनूनी मास्टर चोर, नील मैककौली पूरे लॉस एंजिल्स में विभिन्न पागल डकैतियों पर एक शीर्ष दल का नेतृत्व करता है, जबकि एक मानसिक रूप से अस्थिर जासूस, विंसेंट हैना बिना आराम किए उसका पीछा करता है। प्रत्येक व्यक्ति दूसरे की क्षमता और समर्पण को पहचानता है और उसका सम्मान करता है, भले ही वे जानते हों कि उनका चूहे-बिल्ली का खेल हिंसा में समाप्त हो सकता है।"
